date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:57:00	45973/45973	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20May%202026%2007:55:34%20GMT	https://demo.themetorium.net/html/hektor/contact.html	E:/web%20clone/abc/demo.themetorium.net/html/hektor/contact.html	(from https://demo.themetorium.net/html/hektor/landing-page-3.html)
02:57:00	42906/42906	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20May%202026%2007:55:34%20GMT	https://demo.themetorium.net/html/hektor/contact-simple.html	E:/web%20clone/abc/demo.themetorium.net/html/hektor/contact-simple.html	(from https://demo.themetorium.net/html/hektor/landing-page-3.html)
02:57:01	45781/45781	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20May%202026%2007:55:35%20GMT	https://demo.themetorium.net/html/hektor/services.html	E:/web%20clone/abc/demo.themetorium.net/html/hektor/services.html	(from https://demo.themetorium.net/html/hektor/landing-page-3.html)
02:57:01	59918/59918	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20May%202026%2007:55:35%20GMT	https://demo.themetorium.net/html/hektor/services-2.html	E:/web%20clone/abc/demo.themetorium.net/html/hektor/services-2.html	(from https://demo.themetorium.net/html/hektor/landing-page-3.html)
02:57:01	62846/62846	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20May%202026%2007:55:35%20GMT	https://demo.themetorium.net/html/hektor/pricing.html	E:/web%20clone/abc/demo.themetorium.net/html/hektor/pricing.html	(from https://demo.themetorium.net/html/hektor/landing-page-3.html)
02:57:01	49912/49912	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20May%202026%2007:55:35%20GMT	https://demo.themetorium.net/html/hektor/testimonials.html	E:/web%20clone/abc/demo.themetorium.net/html/hektor/testimonials.html	(from https://demo.themetorium.net/html/hektor/landing-page-3.html)
02:57:02	40313/40313	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20May%202026%2007:55:34%20GMT	https://demo.themetorium.net/html/hektor/dummy.html	E:/web%20clone/abc/demo.themetorium.net/html/hektor/dummy.html	(from https://demo.themetorium.net/html/hektor/landing-page-3.html)
02:57:02	40596/40596	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20May%202026%2007:55:34%20GMT	https://demo.themetorium.net/html/hektor/dummy-2.html	E:/web%20clone/abc/demo.themetorium.net/html/hektor/dummy-2.html	(from https://demo.themetorium.net/html/hektor/landing-page-3.html)
02:57:02	40683/40683	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20May%202026%2007:55:34%20GMT	https://demo.themetorium.net/html/hektor/dummy-3.html	E:/web%20clone/abc/demo.themetorium.net/html/hektor/dummy-3.html	(from https://demo.themetorium.net/html/hektor/landing-page-3.html)
02:57:03	64594/64594	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20May%202026%2007:55:34%20GMT	https://demo.themetorium.net/html/hektor/faq.html	E:/web%20clone/abc/demo.themetorium.net/html/hektor/faq.html	(from https://demo.themetorium.net/html/hektor/landing-page-3.html)
02:57:03	29556/29556	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20May%202026%2007:55:33%20GMT	https://demo.themetorium.net/html/hektor/404.html	E:/web%20clone/abc/demo.themetorium.net/html/hektor/404.html	(from https://demo.themetorium.net/html/hektor/landing-page-3.html)
